expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
treuv,strong,epistemic,1,positive,no,treuvtai,treu(h)-tai is typical in positive contexts. Strong participant-internality is expressed as treuh-kaa. No particle when negated (NEG treuv)
treuv,weak necessity,epistemic,?,,,,
treuv,weak,epistemic,?,,,,
treuv,strong,deontic,1,positive,no,treuvtai,
treuv,weak necessity,deontic,?,,,,
treuv,weak,deontic,?,,,,
treuv,weak,deontic,1,negative,above,m_n treuv,"Khmer has only one negator, sesquisyllabic m_n"
treuv,strong,teleological,1,positive,,,
treuv,weak necessity,teleological,?,,,,
treuv,weak,teleological,?,,,,
treuv,strong,circumstantial,1,positive,no,treuvtai // treuvkaa,
treuv,weak,circumstantial,?,,,,
treuv,strong,bouletic,1,positive,no,treuvtai // treuvkaa,
chambac,strong,epistemic,?,,,,
chambac,weak necessity,epistemic,?,,,,
chambac,weak,epistemic,?,,,,
chambac,strong,deontic,1,positive,no,chambac,
chambac,strong,deontic,1,negative,above,m_n chambac,
chambac,weak necessity,deontic,?,,,,
chambac,weak,deontic,?,,,,
chambac,strong,teleological,1,positive,no,chambac,
chambac,weak necessity,teleological,?,,,,
chambac,weak,teleological,?,,,,
chambac,strong,circumstantial,?,,,,
chambac,weak,circumstantial,?,,,,
chambac,strong,bouletic,?,,,,
kuətai,strong,epistemic,?,,,,
kuətai,weak necessity,epistemic,1,positive,no,kuətai,
kuətai,weak,epistemic,?,,,,
kuətai,strong,deontic,?,,,,
kuətai,weak necessity,deontic,1,positive,no,kuətai,
kuətai,weak,deontic,?,,,,
kuətai,strong,teleological,?,,,,
kuətai,weak necessity,teleological,1,positive,no,kuətai,
kuətai,weak,teleological,?,,,,
kuətai,strong,circumstantial,?,,,,
kuətai,weak,circumstantial,?,,,,
kuətai,strong,bouletic,?,,,,
prohai,strong,epistemic,1,negative,below,prohai + COMP + [NEG...],
prohai,weak necessity,epistemic,?,,,,
prohai,weak,epistemic,1,positive,no,prohai,
prohai,strong,deontic,?,,,,
prohai,weak necessity,deontic,?,,,,
prohai,weak,deontic,?,,,,
prohai,strong,teleological,?,,,,
prohai,weak necessity,teleological,?,,,,
prohai,weak,teleological,?,,,,
prohai,strong,circumstantial,?,,,,
prohai,weak,circumstantial,?,,,,
prohai,strong,bouletic,?,,,,
ac,strong,epistemic,?,,,,
ac,weak necessity,epistemic,?,,,,
ac,weak,epistemic,1,negative,,m_n ac,
ac,strong,deontic,?,,,,
ac,weak necessity,deontic,?,,,,
ac,weak,deontic,1,positive,,ac,
ac,weak,deontic,1,negative,,m_n ac,
ac,strong,teleological,?,,,,
ac,weak necessity,teleological,?,,,,
ac,weak,teleological,1,positive,,ac,
ac,weak,teleological,1,negative,,m_n ac,
ac,strong,circumstantial,?,,,,
ac,weak,circumstantial,1,positive,,ac,
ac,weak,circumstantial,1,negative,,m_n ac,
ac,strong,bouletic,,,,,
